1;БУ "ГЦППМСП" г. Омска;ул. Куйбышева, д.27/7
2;БУ "ГЦППМСП" г. Омска;пр-т Мира, д.165А
3;БДОУ города Омска "Детский сад № 88 комбинированного вида";ул. Бархатовой, д. 8а
4;БДОУ города Омска «Детский сад № 90 комбинированного вида»; ул. Дмитриева, 6 к. 2
5;БДОУ города Омска «Детский сад № 112»;ул. Мельничная, 87А
6;Центр Развития Ребенка-ДОУ № 119;ул. Комкова, 2а
7;БДОУ города Омска "Детский сад № 206 комбинированного вида";ул. Стальского, 9А
8;БДОУ города Омска "Детский сад № 214 комбинированного вида";ул. 1-я Молодежная, 22
9;БДОУ города Омска "Детский сад компенсирующего вида № 245";ул. Взлётная, 5 Б
10;БДОУ города Омска «Центр развития ребёнка — детский сад № 270»;ул. 21-я Амурская, 4А
11;БДОУ города Омска «Детский сад № 275 комбинированного вида»;ул. 4 Самарская, 47
12;БДОУ города Омска "Детский сад № 276 компенсирующего вида";ул. Анатолия Маркова,3
13;БДОУ города Омска "Детский сад № 283 комбинированного вида";ул. Проспект Мира,17б
14;БДОУ города Омска «Детский сад № 400 компенсирующего вида»;ул. 6-я Шинная, 7
15;БОУ города Омска «Средняя общеобразовательная школа-интернат № 2»;улица Грозненская, 7
16;БОУ города Омска «Средняя общеобразовательная школа № 7»;бульвар Архитекторов, 10, к. 1
17;БОУ города Омска «Средняя общеобразовательная школа № 10»;2-я Солнечная улица, 15
18;БОУ города Омска "Средняя общеобразовательная школа № 16";ул. Багратиона, д. 7
19;КОУ Омской области «Адаптивная школа-интернат № 19»;улица 21-я Амурская, 17
20;БОУ города Омска «Средняя общеобразовательная школа № 21»;ул. Волгоградская, 34 Б
21;БОУ города Омска «Инженерно-технологический лицей № 25»;улица Олимпийская, 7 А
22;БОУ города Омска «Средняя общеобразовательная школа № 30»;улица 22 Партсъезда, 19
23;БОУ города Омска «Средняя общеобразовательная школа № 34»;улица Дианова, 12 к. 2
24;БОУ города Омска «Средняя общеобразовательная школа № 42»;улица Дмитриева, 2 к. 8
25;БОУ города Омска «Средняя общеобразовательная школа № 48»;улица Иванишко, 31
26;БОУ города Омска «Средняя общеобразовательная школа № 53»;Мельничная улица, 44
27;БОУ города Омска «Средняя общеобразовательная школа № 67»;улица 20 лет Октября, 14
